None,Accessorize Girls Light Pink  Hairband,http://www.myntra.com/Hair-Accessory/Accessorize/Accessorize-Girls-Light-Pink--Hairband/205479/buy,Rs. 445,fashion-sale,Extra 32% Off on 30,Accessorize,http://myntra.myntassets.com/images/style/properties/Accessorize-Girls-Light-Pink-Hairband_0945ca1410fb7c9897893985b3487391_images_1080_1440_mini.JPG,None,None,fashion,http://www.myntra.com/Hair-Accessory/Accessorize/Accessorize-Girls-Light-Pink--Hairband/205479/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This cute hairband from Accessorize is perfect for your little daughter. Team it with a frilly frock and ballet flats when she's heading out for a friend's party.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Light pink hairband with black accents<br/>Has heart shaped prints and a bow detail</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>60% polyester, 40% iron<br/>Wipe with a clean cloth to remove dirt</p></li></ul>,26:02:2014,None
None,Accessorize Girls Multi-Coloured Set of 30 Stick On Earrings,http://www.myntra.com/Earrings/Accessorize/Accessorize-Girls-Multi-Coloured-Set-of-30-Stick-On-Earrings/209724/buy,Rs. 395,fashion-sale,Extra 32% Off on 30,Accessorize,http://myntra.myntassets.com/images/style/properties/Accessorize-Girls-Multi-Coloured-Set-of-30-Stick-On-Earrings_763815dd3abd40f038d31a102ee8ef91_images_1080_1440_mini.jpg,None,None,fashion,http://www.myntra.com/Earrings/Accessorize/Accessorize-Girls-Multi-Coloured-Set-of-30-Stick-On-Earrings/209724/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This set of stick on earrings from Accessorize is sure to make a mark. Completely fashion-forward, make your little princess wear this when heading out to play.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Set of 30 stick on earrings<br/>Multi-coloured earrings, with stick on detail</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Plastic<br/>Wipe with a clean cotton swab when needed</p></li></ul>,26:02:2014,None
None,Accessorize Silver Toned Heart Stud Earrings,http://www.myntra.com/Earrings/Accessorize/Accessorize-Silver-Toned-Heart-Stud-Earrings/205445/buy,Rs. 345,fashion-sale,Extra 32% Off on 30,Accessorize,http://myntra.myntassets.com/images/style/properties/Accessorize-Silver-Toned-Heart-Shaped-Stud-Earrings_64d9c7703f18ccd6c029763fb9ba839a_images_1080_1440_mini.jpg,None,None,fashion,http://www.myntra.com/Earrings/Accessorize/Accessorize-Silver-Toned-Heart-Stud-Earrings/205445/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>A pair of delicate earrings is the easiest way to jazz up any look. We suggest that you try doing your hair up and let this gorgeous piece from Accessorize become the centre of all attention.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Silver toned, heart shaped stud earrings<br/>Secured with a post and back closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>90% tin, 10% steel<br/>Wipe with a clean cotton swab when needed</p></li></ul>,26:02:2014,None
None,Accessorize Gold Toned & Green Studded Bracelet,http://www.myntra.com/Bracelet/Accessorize/Accessorize-Gold-Toned-&-Green-Studded-Bracelet/205490/buy,Rs. 695,fashion-sale,Extra 32% Off on 30,Accessorize,http://myntra.myntassets.com/images/style/properties/Accessorize_3eefe8ff834805d6f179a4d8ef7e38f1_images_1080_1440_mini.jpg,None,None,fashion,http://www.myntra.com/Bracelet/Accessorize/Accessorize-Gold-Toned-&-Green-Studded-Bracelet/205490/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This bracelet from Accessorize is catchy and chic. Put it on with a sheath dress to add a glamorous touch to your look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Gold toned bracelet with a central square shaped, studded pendant like detail that has a central green stone<br/>Secured with a lobster clasp closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Zinc, brass and epoxy<br/>Wipe with a clean, cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length: 16 cm</p></li></ul>,26:02:2014,None
None,Accessorize Multi-Coloured Floral Print Hair Clip,http://www.myntra.com/Hair-Accessory/Accessorize/Accessorize-Multi-Coloured-Floral-Print-Hair-Clip/184927/buy,Rs. 239,fashion-sale,Extra 32% Off on 30,Accessorize,http://myntra.myntassets.com/images/style/properties/Accessorize-Multi-Coloured-Floral-Printed-Hair-Clip_d571a1275ecde4e5f585486aa74271a9_images_1080_1440_mini.jpg,Rs. 795,None,fashion,http://www.myntra.com/Hair-Accessory/Accessorize/Accessorize-Multi-Coloured-Floral-Print-Hair-Clip/184927/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Add a distinct touch to your look with this gorgeous and chic hair grasp from Accessorize. We recommend you put this on and make a style statement.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Floral print hair clip with gold toned teeth for a firm grip</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>60% steel, 40% plastic<br/>Wipe with a clean cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length: 13 cm</p></li></ul>,26:02:2014,None
None,Accessorize Girls Silver Toned Semi Doughnut Comb,http://www.myntra.com/Hair-Accessory/Accessorize/Accessorize-Girls-Silver-Toned-Semi-Doughnut-Comb/205478/buy,Rs. 895,fashion-sale,Extra 32% Off on 30,Accessorize,http://myntra.myntassets.com/images/style/properties/Accessorize-Girls-Silver-Toned-Semi-Doughnut-Comb_04a21ff790091229cf74ee7daecacbed_images_1080_1440_mini.jpg,None,None,fashion,http://www.myntra.com/Hair-Accessory/Accessorize/Accessorize-Girls-Silver-Toned-Semi-Doughnut-Comb/205478/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Add a distinct touch to your little princess with this gorgeous and chic hair comb from Accessorize. We recommend you put this on for your little one and make a classic hairdo this season.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Siver toned semi doughnut hair comb, has a crown shaped upper with heart shape and crystal studded detail and comb at the base</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>70% metal, 30% glass<br/>Wipe with a clean, dry cloth when needed</p></li></ul>,26:02:2014,None
None,Accessorize Girls Set of 6 Multi-Coloured Hair Clips,http://www.myntra.com/Hair-Accessory/Accessorize/Accessorize-Girls-Set-of-6-Multi-Coloured-Hair-Clips/205480/buy,Rs. 595,fashion-sale,Extra 32% Off on 30,Accessorize,http://myntra.myntassets.com/images/style/properties/Accessorize-Girls-Set-of-6-Multi-Coloured-Hair-Clips_3da349c54e959953bc0f97f2951db9e4_images_1080_1440_mini.jpg,None,None,fashion,http://www.myntra.com/Hair-Accessory/Accessorize/Accessorize-Girls-Set-of-6-Multi-Coloured-Hair-Clips/205480/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This set of hair clips from Accessorize gives little girls a cute and adorable way to secure their hair. It goes well with dresses and skirts.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Set of six hair clips<br/>Pink, orange, and lavender, alligator hair clips, with bow detail and multi-coloured accents</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>50% plastic, 50% iron<br/>Wipe with a clean cotton swab when needed</p></li></ul>,26:02:2014,None
None,Accessorize Girls Pink Hair Accessory Set,http://www.myntra.com/Hair-Accessory/Accessorize/Accessorize-Girls-Pink-Hair-Accessory-Set/205482/buy,Rs. 595,fashion-sale,Extra 32% Off on 30,Accessorize,http://myntra.myntassets.com/images/style/properties/Accessorize-Girls-Pink-Hair-Accessory-Set_4951159e9852b64209b95ef4e03c301c_images_1080_1440_mini.JPG,None,None,fashion,http://www.myntra.com/Hair-Accessory/Accessorize/Accessorize-Girls-Pink-Hair-Accessory-Set/205482/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Keep your little girl's locks in control with these trendy and elegant looking clips and hairbands from Accessorize. Match these with a frilly frock and ballet flats when she's heading out for a friend's party.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Pink hairband with a butterfly detail<br/>Set of two, pink, tic-tac hair clips with butterfly detail<br/>One, elasticated, pink hairband with a butterfly detail</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>80% plastic, 20% iron<br/>Wipe with a clean cloth to remove dirt</p></li></ul>,26:02:2014,None
None,Accessorize Black Hairband,http://www.myntra.com/Hair-Accessory/Accessorize/Accessorize-Black-Hairband/205468/buy,Rs. 545,fashion-sale,Extra 32% Off on 30,Accessorize,http://myntra.myntassets.com/images/style/properties/Accessorize-Black-Hairband_bde4f2b5935d1aeff83dfacdf607811e_images_1080_1440_mini.jpg,None,None,fashion,http://www.myntra.com/Hair-Accessory/Accessorize/Accessorize-Black-Hairband/205468/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Keep your locks tucked back in style with this trendy hairband from Accessorize. Wear it with any ensemble, it is sure to complement any look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Broad, black stretchy hairband</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>94% polyester, 6% elastane<br/>Wipe with a clean, dry cloth when needed</p></li></ul>,26:02:2014,None
None,Accessorize Silver Toned Drop Earrings,http://www.myntra.com/Earrings/Accessorize/Accessorize-Silver-Toned-Drop-Earrings/209706/buy,Rs. 795,fashion-sale,Extra 32% Off on 30,Accessorize,http://myntra.myntassets.com/images/style/properties/Accessorize-Silver-Toned-Drop-Earrings_04acbc2c593836ce12519a2cbc812201_images_1080_1440_mini.jpg,None,None,fashion,http://www.myntra.com/Earrings/Accessorize/Accessorize-Silver-Toned-Drop-Earrings/209706/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Simple and elegant, this pair of earrings from Accessorize is sure to make a mark. Accessorise it with casuals and pull your hair up to a ponytail to let it accentuate your look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Silver toned, elephant shaped drop earrings with intricate detailing<br/>Fish hook back</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>90% zinc, 5% brass, 5% glass<br/>Wipe with a clean, dry cloth when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length: 2.5 cm</p></li></ul>,26:02:2014,None
None,Accessorize Gold Toned Drop Earrings,http://www.myntra.com/Earrings/Accessorize/Accessorize-Gold-Toned-Drop-Earrings/209707/buy,Rs. 795,fashion-sale,Extra 32% Off on 30,Accessorize,http://myntra.myntassets.com/images/style/properties/Accessorize-Gold-Toned-Drop-Earrings_56fbe81e3bd11c345ee5b3fbc0f6e717_images_1080_1440_mini.jpg,None,None,fashion,http://www.myntra.com/Earrings/Accessorize/Accessorize-Gold-Toned-Drop-Earrings/209707/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Simple and elegant, this pair of earrings from Accessorize is sure to make a mark. Accessorise it with casuals and pull your hair up to a ponytail to let it accentuate your look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Gold toned, elephant shaped drop earrings with intricate detailing<br/>Fish hook back</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>90% zinc, 5% brass, 5% glass<br/>Wipe with a clean, dry cloth when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length: 2.5 cm</p></li></ul>,26:02:2014,None
None,Accessorize Antique Gold Toned Elephant Necklace,http://www.myntra.com/Necklace/Accessorize/Accessorize-Antique-Gold-Toned-Elephant-Necklace/147859/buy,Rs. 1,245,fashion-sale,Extra 32% Off on 30,Accessorize,http://myntra.myntassets.com/images/style/properties/Accessorize-Women-Necklace_4e7ac5edfc8b3d97046bb38b0e7107f2_images_1080_1440_mini.jpg,None,None,fashion,http://www.myntra.com/Necklace/Accessorize/Accessorize-Antique-Gold-Toned-Elephant-Necklace/147859/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Add an interesting edge to your look with this pretty necklace from Accessorize. We love the intricate elephant shaped detail that is sure to spruce up the simplest of attire.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Antique gold toned necklace with an elephant shaped pendant, has intricate patterns and crystal detailing<br/>The chain has an adjustable lobster clasp closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Metal and crystals<br/>Wipe with a clean cloth to remove dirt</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length of necklace: 84 cm<br/>Length of pendant: 2.2 cm</p></li></ul>,26:02:2014,None
None,Accessorize Dull Gold Toned Owl Ring,http://www.myntra.com/Ring/Accessorize/Accessorize-Dull-Gold-Toned-Owl-Ring/181405/buy,Rs. 464,fashion-sale,Extra 32% Off on 30,Accessorize,http://myntra.myntassets.com/images/style/properties/Accessorize-Dull-Gold-Toned-Owl-Ring_547fcf970c7ab2860aca1330aef99c99_images_1080_1440_mini.JPG,Rs. 1,545,None,fashion,http://www.myntra.com/Ring/Accessorize/Accessorize-Dull-Gold-Toned-Owl-Ring/181405/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Accessorize brings to you attractive looking rings that are sure to upgrade your fashionable look. Designed in line with the latest trends, this ring has an excellent finish and is durable as well.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Gold toned, intricately designed owl shaped ring with stone studded detail</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>85% zinc, 15% glass<br/>Wipe with a clean cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Diameter: 1.8 cm</p></li></ul>,26:02:2014,None
None,Accessorize Antique Gold Toned Elephant Pendant with Chain,http://www.myntra.com/Pendant/Accessorize/Accessorize-Antique-Gold-Toned-Elephant-Pendant-with-Chain/205456/buy,Rs. 1,345,fashion-sale,Extra 32% Off on 30,Accessorize,http://myntra.myntassets.com/images/style/properties/Accessorize-Gold-Toned-Elephant-Pendant-With-Chain_65516a55b0e8c22d6a19e3ab9d187cc2_images_1080_1440_mini.jpg,None,None,fashion,http://www.myntra.com/Pendant/Accessorize/Accessorize-Antique-Gold-Toned-Elephant-Pendant-with-Chain/205456/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This gold toned neckpiece by Accessorize has been stamped with the label's stand-out design. Accentuate the distinctive shape with a tonal tunic.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Antique gold toned, elephant shaped pendant<br/> Comes with an antique gold toned chain that has an adjustable lobster clasp closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Zinc, brass and glass<br/> Wipe with a dry cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length of the pendant: 2.5 cm<br/> Length of the chain: 82 cm</p></li></ul>,26:02:2014,None
None,Accessorize Oxidised Silver Toned Studded Bracelet,http://www.myntra.com/Bracelet/Accessorize/Accessorize-Oxidised-Silver-Toned-Studded-Bracelet/203858/buy,Rs. 2,195,fashion-sale,Extra 32% Off on 30,Accessorize,http://myntra.myntassets.com/images/style/properties/Accessorize-Silver-Toned-Studded-Bracelet_452f0214d59714c9e681bd8e574bc6c1_images_1080_1440_mini.jpg,None,None,fashion,http://www.myntra.com/Bracelet/Accessorize/Accessorize-Oxidised-Silver-Toned-Studded-Bracelet/203858/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Bold and stunning, this bracelet from Accessorize is a statement making  piece. It is versatile enough to complement an ethnic, fusion and Western look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Oxidised silver toned, elasticated bracelet with beads of varying shape and sizes, and studded layers at intervals</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>70% zinc, 30% glass<br/>Wipe with a clean cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Minimum diameter: 5.5 cm (adjustable)</p></li></ul>,26:02:2014,None
None,Accessorize Silver Toned Bunny Necklace,http://www.myntra.com/Necklace/Accessorize/Accessorize-Silver-Toned-Bunny-Necklace/147861/buy,Rs. 745,fashion-sale,Extra 32% Off on 30,Accessorize,http://myntra.myntassets.com/images/style/properties/Accessorize-Women-Necklace_8fbef4b166c826e0cd2c5909a94857b6_images_1080_1440_mini.jpg,None,None,fashion,http://www.myntra.com/Necklace/Accessorize/Accessorize-Silver-Toned-Bunny-Necklace/147861/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Add an interesting edge to your look with this pretty necklace from Accessorize. We love the glittery detail that is sure to spruce up the simplest of attire.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Silver toned necklace with a bunny shaped pendant embellished with crystals<br/>The chain has an adjustable lobster clasp closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Metal and crystals<br/>Wipe with a clean cloth to remove dirt</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length of necklace: 46 cm<br/>Length of pendant: 1.6 cm</p></li></ul>,26:02:2014,None
None,Accessorize Set of 3 Necklaces,http://www.myntra.com/Necklace/Accessorize/Accessorize-Set-of-3-Necklaces/188746/buy,Rs. 1,345,fashion-sale,Extra 32% Off on 30,Accessorize,http://myntra.myntassets.com/images/style/properties/Accessorize-Women-Necklace_52a806da660f64d8f1893c781b527c66_images_1080_1440_mini.jpg,None,None,fashion,http://www.myntra.com/Necklace/Accessorize/Accessorize-Set-of-3-Necklaces/188746/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This fun and chic creation from Accessorize is sure to catch every passing eye. You can wear it with most casual outfits.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Gold toned set of three necklaces with a central pendant in gold toned and blue, circular and spectacle shapes<br/>Secured with an adjustable lobster clasp closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>50% brass, 40% zinc, 10% epoxy<br/>Wipe with a clean cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length: 46 cm</p></li></ul>,26:02:2014,None
None,Accessorize Silver Toned Elephant Pendant with Chain,http://www.myntra.com/Pendant/Accessorize/Accessorize-Silver-Toned-Elephant-Pendant-with-Chain/205455/buy,Rs. 1,345,fashion-sale,Extra 32% Off on 30,Accessorize,http://myntra.myntassets.com/images/style/properties/Accessorize-Silver-Toned-Elephant-Pendant-With-Chain_81a1619d374b4ff05cedb59e5c5f58ba_images_1080_1440_mini.jpg,None,None,fashion,http://www.myntra.com/Pendant/Accessorize/Accessorize-Silver-Toned-Elephant-Pendant-with-Chain/205455/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This silver toned neckpiece by Accessorize has been stamped with the label's stand-out design. Accentuate the distinctive shape with a tonal tunic.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Silver toned, elephant shaped pendant<br/> Comes with a silver toned chain that has an adjustable lobster clasp closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Zinc, brass and glass<br/> Wipe with a dry cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length of the pendant: 2.5 cm<br/> Length of the chain: 82 cm</p></li></ul>,26:02:2014,None
None,Accessorize Red & Gold Toned Bracelet,http://www.myntra.com/Bracelet/Accessorize/Accessorize-Red-&-Gold-Toned-Bracelet/205489/buy,Rs. 545,fashion-sale,Extra 32% Off on 30,Accessorize,http://myntra.myntassets.com/images/style/properties/Accessorize-Red-&-Gold-Toned-Bracelet_5b0b2ff3288fe0854b7cb115375ce2aa_images_1080_1440_mini.jpg,None,None,fashion,http://www.myntra.com/Bracelet/Accessorize/Accessorize-Red-&-Gold-Toned-Bracelet/205489/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Bold and stunning, this bracelet from Accessorize is a statement making  piece. It is versatile enough to complement a fusion and Western look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Red bracelet with dual strings and a gold toned, heart shaped metal detail at the centre<br/>Secured with an adjustable lobster clasp closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>60% brass, 35% zinc and 5% cotton<br/>Wipe with a clean cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Maximum length: 17.5 cm</p></li></ul>,26:02:2014,None
None,Accessorize Gold Toned Neclace,http://www.myntra.com/Necklace/Accessorize/Accessorize-Gold-Toned-Neclace/203850/buy,Rs. 1,545,fashion-sale,Extra 32% Off on 30,Accessorize,http://myntra.myntassets.com/images/style/properties/Accessorize-Gold-Toned-Neclace_7ffa77022b3af2f61c12092d3b2b993f_images_1080_1440_mini.jpg,None,None,fashion,http://www.myntra.com/Necklace/Accessorize/Accessorize-Gold-Toned-Neclace/203850/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Add an interesting edge to your look with this pretty and bold necklace from  Accessorize. We love the ring detail that is sure to spruce up the  simplest of attire.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Gold toned and blue three stranded necklace with varying length, has a cluster of gold toned rings towards the centre <br/>Secured with an adjustable lobster clasp closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>90% iron, 10% cotton<br/>Wipe with a clean, cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length: 70 cm</p></li></ul>,26:02:2014,None
None,Accessorize Set of 5 Earrings,http://www.myntra.com/Earrings/Accessorize/Accessorize-Set-of-5-Earrings/188739/buy,Rs. 1,345,fashion-sale,Extra 32% Off on 30,Accessorize,http://myntra.myntassets.com/images/style/properties/Accessorize-Women-Earrings_ef5dc3be94acf93eb958320d33635eb6_images_1080_1440_mini.jpg,None,None,fashion,http://www.myntra.com/Earrings/Accessorize/Accessorize-Set-of-5-Earrings/188739/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>A pair of delicate earrings is the easiest way to jazz up any look. We  suggest that you try doing your hair up in a chic chignon and let this  gorgeous piece from Accessorize become the centre of all attention.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Set of five earrings that are secured with a post back closure and a rubber stopper<br/>A pair of gold toned, star shaped pair with a central stone studded detail<br/>A pair of  silver toned, cross shaped pair with stone studded detail<br/>A pair of skull shaped earrings with stone studded detail<br/>A pair of gold toned, triangular shaped earrings<br/>A pair of gold and silver toned, drop earrings with a square base and a spike shaped dangler</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>60% zinc, 30% brass, 10% glass<br/>Wipe with a clean, cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length of drop earrings: 2.5 cm</p></li></ul>,26:02:2014,None
None,Accessorize Women Off-White Beanie,http://www.myntra.com/Caps/Accessorize/Accessorize-Women-Off-White-Beanie/184944/buy,Rs. 2,245,fashion-sale,Extra 32% Off on 30,Accessorize,http://myntra.myntassets.com/images/style/properties/Accessorize-Women-Hat_8df241a7d5082b6ce6b3d0d5bf6d1f82_images_1080_1440_mini.jpg,None,None,fashion,http://www.myntra.com/Caps/Accessorize/Accessorize-Women-Off-White-Beanie/184944/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Boost your cold-weather wardrobe with Accessorize's wool-blend beanie. Cable-knitted in pleasant hued yarns, this cozy beanie will keep you stylishly warm on the chilliest of days.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Off-white beanie with knitted patterns, has a ribbed hem</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>38% nylon, 36% wool and 26% angora<br/> Machine wash gentle</p></li></ul>,26:02:2014,None
