None,Orosilber Men Brown Leather Belt,http://www.myntra.com/Belts/Orosilber/Orosilber-Men-Brown-Leather-Belt/216208/buy,Rs. 2,499,men-belts-ties,Belts,Orosilber,http://myntra.myntassets.com/images/style/properties/Orosilber-Men-Belts_79e07e20b8d7e9c404b99b0b2d537eae_images_1080_1440_mini.jpg,None,None,men,http://www.myntra.com/Belts/Orosilber/Orosilber-Men-Brown-Leather-Belt/216208/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Catch up with the Dhoom 3 fever and give your accessory collection a rugged and aggressive touch by owning this belt from Orosilber. It is crafted keeping in mind the attitude and outlook that Dhoom 3 represents.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Shaded brown, leather belt<br/>A metallic buckle that is embossed with the Dhoom 3 theme graphics<br/>Has a push pin closure, adjustable with multiple holes to get a snug fit<br/>A loop near the buckle to hold the belt in place when worn<br/><span style="font-size: 13px; font-family: arial, sans, sans-serif;">Warranty:  6 months from the date of purchase, against manufacturing defects</span> </p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Leather<br/>Wipe with a clean cloth to remove dust</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Width: 3.7 cm</p></li></ul>,26:02:2014,None
None,Orosilber Men Blue Dhoom 3 Suspenders,http://www.myntra.com/Suspenders/Orosilber/Orosilber-Men-Blue-Dhoom-3-Suspenders/216283/buy,Rs. 1,599,men-belts-ties,Belts,Orosilber,http://myntra.myntassets.com/images/style/properties/Orosilber-Men-Blue-Dhoom-3-Suspenders_fe795dbc16b08c6be6f824404e2bf096_images_1080_1440_mini.jpg,None,None,men,http://www.myntra.com/Suspenders/Orosilber/Orosilber-Men-Blue-Dhoom-3-Suspenders/216283/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Add fun to your outfits with this classy pair of suspenders from Orosilber. The latest movie merchandise from the upcoming movie Dhoom 3 sets a perfect style statement.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Blue elasticated suspenders with contrast woven patterns, metallic clip-on closures at the ends, adjustable, and a leather patch at the back with Dhoom 3 branding</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic, leather and brass<br/>Wipe with a clean cloth to remove dirt</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Width: 1.5"</p></li></ul>,26:02:2014,None
None,Orosilber Men Grey Printed Belt,http://www.myntra.com/Belts/Orosilber/Orosilber-Men-Grey-Printed-Belt/216205/buy,Rs. 599,men-belts-ties,Belts,Orosilber,http://myntra.myntassets.com/images/style/properties/Orosilber-Men-Black-Belt_fb5a03d183a2e206febd18f86b392977_images_1080_1440_mini.jpg,None,None,men,http://www.myntra.com/Belts/Orosilber/Orosilber-Men-Grey-Printed-Belt/216205/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>A belt can say a lot about your dressing sense. With this belt from Orosilber, transform your casual wardrobe to a stylish and trendy one. It is crafted keeping in mind the attitude and outlook that Dhoom 3 represents. We suggest you team this piece with distressed jeans and a casual tee.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Grey, printed belt with mauve accents and stitched detail<br/>Secured with a tang clasp and has a fixed loop to hold the belt in place<br/>Holes to customise the fit</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Leather<br/>Wipe with a clean, dry cloth when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Width: 3.5 cm<br/>Length: 101 cm</p></li></ul>,26:02:2014,None
None,Orosilber Men Beige Dhoom 3 Suspenders,http://www.myntra.com/Suspenders/Orosilber/Orosilber-Men-Beige-Dhoom-3-Suspenders/216284/buy,Rs. 1,599,men-belts-ties,Belts,Orosilber,http://myntra.myntassets.com/images/style/properties/Orosilber-Men-Beige-Dhoom-3-Suspenders_499ac899370a1aa0014bd5e42652f055_images_1080_1440_mini.jpg,None,None,men,http://www.myntra.com/Suspenders/Orosilber/Orosilber-Men-Beige-Dhoom-3-Suspenders/216284/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Add fun to your outfits with this classy pair of suspenders from Orosilber. The latest movie merchandise from the upcoming movie Dhoom 3 sets a perfect style statement.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Beige elasticated suspenders with contrast woven patterns, metallic clip-on closures at the ends, adjustable, and a leather patch at the back with Dhoom 3 branding</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic, leather and brass<br/>Wipe with a clean cloth to remove dirt</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Width: 1.5"</p></li></ul>,26:02:2014,None
None,Orosilber Men Brown Dhoom 3 Suspenders,http://www.myntra.com/Suspenders/Orosilber/Orosilber-Men-Brown-Dhoom-3-Suspenders/216285/buy,Rs. 1,599,men-belts-ties,Belts,Orosilber,http://myntra.myntassets.com/images/style/properties/Orosilber-Men-Brown-Dhoom-3-Suspenders_645e7645e63688c7ac189908c25cce38_images_1080_1440_mini.jpg,None,None,men,http://www.myntra.com/Suspenders/Orosilber/Orosilber-Men-Brown-Dhoom-3-Suspenders/216285/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Add fun to your outfits with this classy pair of suspenders from Orosilber. The latest movie merchandise from the upcoming movie Dhoom 3 sets a perfect style statement.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Brown elasticated suspenders with contrast woven patterns, metallic clip-on closures at the ends, adjustable, and a leather patch at the back with Dhoom 3 branding</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic, leather and brass<br/>Wipe with a clean cloth to remove dirt</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Width: 1.5"</p></li></ul>,26:02:2014,None
None,Orosilber Men Black Dhoom 3 Suspenders,http://www.myntra.com/Suspenders/Orosilber/Orosilber-Men-Black-Dhoom-3-Suspenders/216277/buy,Rs. 1,599,men-belts-ties,Belts,Orosilber,http://myntra.myntassets.com/images/style/properties/Orosilber-Men-Black-Dhoom-3-Suspenders_f34da2714588877757f11b7f2b37eab8_images_1080_1440.jpg,None,None,men,http://www.myntra.com/Suspenders/Orosilber/Orosilber-Men-Black-Dhoom-3-Suspenders/216277/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Add fun to your outfits with this classy pair of suspenders from Orosilber. The latest movie merchandise from the upcoming movie Dhoom 3 sets a perfect style statement.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Black elasticated suspenders with contrast woven patterns, metallic clip-on closures at the ends, adjustable, and a leather patch at the back with Dhoom 3 branding</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic, leather and brass<br/>Wipe with a clean cloth to remove dirt</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Width: 1.5"</p></li></ul>,26:02:2014,None
None,Orosilber Men Black Leather Belt,http://www.myntra.com/Belts/Orosilber/Orosilber-Men-Black-Leather-Belt/216206/buy,Rs. 750,men-belts-ties,Belts,Orosilber,http://myntra.myntassets.com/images/style/properties/Orosilber-Men-Belts_1d317c3aa50ce3a3865d8c69093e5801_images_1080_1440.jpg,None,None,men,http://www.myntra.com/Belts/Orosilber/Orosilber-Men-Black-Leather-Belt/216206/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Flaunt your classic taste with the all new movie merchandise selection of recently released movie Dhoom 3. Offered by Orosilber, with this stylish belt round your waist, be the one in the spotlight  The metallic tone of the buckle makes you shine even during the monotonous office meetings and business parties.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Black leather belt with textured upper and stitched detail on the sides<br/>A metallic buckle that is embossed with the Dhoom 3 theme graphics<br/>Holes for a customised fit</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Leather<br/>Wipe with a clean cloth to remove dust</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Width: 3.5 cm</p></li></ul>,26:02:2014,None
None,Orosilber Men Grey Printed Belt,http://www.myntra.com/Belts/Orosilber/Orosilber-Men-Grey-Printed-Belt/216207/buy,Rs. 850,men-belts-ties,Belts,Orosilber,http://myntra.myntassets.com/images/style/properties/Orosilber_e8bbd939927c06f4952d1cd40e22e602_images_1080_1440_mini.jpg,None,None,men,http://www.myntra.com/Belts/Orosilber/Orosilber-Men-Grey-Printed-Belt/216207/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>A belt can say a lot about your dressing sense. With this belt from Orosilber, transform your casual wardrobe to a stylish and trendy one. It is crafted keeping in mind the attitude and outlook that Dhoom 3 represents. We suggest you team this piece with distressed jeans and a casual tee.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Grey, printed belt with stitched detail<br/>Secured with a tang closure, has a fixed loop to hold the belt in place<br/>Holes to customise the fit</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Leather<br/>Wipe with a clean, dry cloth when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Width: 3.6 cm</p></li></ul>,26:02:2014,None
None,Orosilber Men Burgandy Dhoom 3 Suspenders,http://www.myntra.com/Suspenders/Orosilber/Orosilber-Men-Burgandy-Dhoom-3-Suspenders/216276/buy,Rs. 1,599,men-belts-ties,Belts,Orosilber,http://myntra.myntassets.com/images/style/properties/Orosilber-Men-Maroon-Dhoom-3-Suspenders_4851c0886539d58e9788fa3161157a13_images_1080_1440_mini.JPG,None,None,men,http://www.myntra.com/Suspenders/Orosilber/Orosilber-Men-Burgandy-Dhoom-3-Suspenders/216276/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Add fun to your outfits with this classy pair of suspenders from Orosilber. The latest movie merchandise from the upcoming movie Dhoom 3 sets a perfect style statement.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Burgandy elasticated suspenders with contrast woven patterns, metallic clip-on closures at the ends, adjustable, and a leather patch at the back with Dhoom 3 branding</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic, leather and brass<br/>Wipe with a clean cloth to remove dirt</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Width: 1.5"</p></li></ul>,26:02:2014,None
None,Orosilber Men Black Leather Belt,http://www.myntra.com/Belts/Orosilber/Orosilber-Men-Black-Leather-Belt/216212/buy,Rs. 1,850,men-belts-ties,Belts,Orosilber,http://myntra.myntassets.com/images/style/properties/Orosilber-Men-Belts_9f157443ccde041da5fb7fe4888d5728_images_1080_1440_mini.jpg,None,None,men,http://www.myntra.com/Belts/Orosilber/Orosilber-Men-Black-Leather-Belt/216212/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Flaunt your classic taste with the all new movie merchandise selection of upcoming movie Dhoom 3. Offered by Orosilber, this black leather belt with a metallic buckle allows you to shine with simplicity. </p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Black, leather belt with textured upper<br/>A metallic buckle that is embossed with the Dhoom 3 theme graphics<br/>Has a push pin closure, adjustable with multiple holes to get a snug fit<br/>A loop near the buckle to hold the belt in place when worn<br/><span style="font-size: 13px; font-family: arial, sans, sans-serif;">Warranty:  6 months from the date of purchase, against manufacturing defects</span> </p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Leather<br/>Wipe with a clean cloth to remove dust</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Width: 3.2 cm</p></li></ul>,26:02:2014,None
None,Orosilber Men Brown Leather Belt,http://www.myntra.com/Belts/Orosilber/Orosilber-Men-Brown-Leather-Belt/216208/buy,Rs. 2,499,men-belts-ties,Belts,Orosilber,http://myntra.myntassets.com/images/style/properties/Orosilber-Men-Belts_79e07e20b8d7e9c404b99b0b2d537eae_images_1080_1440_mini.jpg,None,None,men,http://www.myntra.com/Belts/Orosilber/Orosilber-Men-Brown-Leather-Belt/216208/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Catch up with the Dhoom 3 fever and give your accessory collection a rugged and aggressive touch by owning this belt from Orosilber. It is crafted keeping in mind the attitude and outlook that Dhoom 3 represents.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Shaded brown, leather belt<br/>A metallic buckle that is embossed with the Dhoom 3 theme graphics<br/>Has a push pin closure, adjustable with multiple holes to get a snug fit<br/>A loop near the buckle to hold the belt in place when worn<br/><span style="font-size: 13px; font-family: arial, sans, sans-serif;">Warranty:  6 months from the date of purchase, against manufacturing defects</span> </p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Leather<br/>Wipe with a clean cloth to remove dust</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Width: 3.7 cm</p></li></ul>,26:02:2014,None
None,Orosilber Men Maroon Dhoom 3 Suspenders,http://www.myntra.com/Suspenders/Orosilber/Orosilber-Men-Maroon-Dhoom-3-Suspenders/216278/buy,Rs. 1,599,men-belts-ties,Belts,Orosilber,http://myntra.myntassets.com/images/style/properties/Orosilber-Men-Maroon-Dhoom-3-Suspenders_5cd20f9690d7208cf447ab57f2e85f16_images_1080_1440_mini.jpg,None,None,men,http://www.myntra.com/Suspenders/Orosilber/Orosilber-Men-Maroon-Dhoom-3-Suspenders/216278/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Stylishly detailed, this unmatched pair of suspenders from Orosilber is the latest fashion among the Dhoom series lovers. Grab your pair now for an incomparable style.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Maroon elasticated suspenders with woven patterns, metallic clip-on closures at the ends, adjustable, and a leather patch at the back with Dhoom 3 branding</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic, leather and brass<br/>Wipe with a clean cloth to remove dirt</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Width: 1.5"</p></li></ul>,26:02:2014,None
None,Orosilber Men Beige Dhoom 3 Suspenders,http://www.myntra.com/Suspenders/Orosilber/Orosilber-Men-Beige-Dhoom-3-Suspenders/216280/buy,Rs. 1,599,men-belts-ties,Belts,Orosilber,http://myntra.myntassets.com/images/style/properties/Orosilber-Men-Beige-Dhoom-3-Suspenders_2caa734830a97d05b1d12b52eb9ebcda_images_1080_1440_mini.jpg,None,None,men,http://www.myntra.com/Suspenders/Orosilber/Orosilber-Men-Beige-Dhoom-3-Suspenders/216280/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Stylishly detailed, this unmatched pair of suspenders from Orosilber is the latest fashion among the Dhoom series lovers. Grab your pair now for an incomparable style.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Beige elasticated suspenders with woven patterns, metallic clip-on closures at the ends, adjustable, and a leather patch at the back with Dhoom 3 branding</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic, leather and brass<br/>Wipe with a clean cloth to remove dirt</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Width: 1.5"</p></li></ul>,26:02:2014,None
None,Orosilber Men Black Dhoom 3 Suspenders,http://www.myntra.com/Suspenders/Orosilber/Orosilber-Men-Black-Dhoom-3-Suspenders/216277/buy,Rs. 1,599,men-belts-ties,Belts,Orosilber,http://myntra.myntassets.com/images/style/properties/Orosilber-Men-Black-Dhoom-3-Suspenders_f34da2714588877757f11b7f2b37eab8_images_1080_1440_mini.jpg,None,None,men,http://www.myntra.com/Suspenders/Orosilber/Orosilber-Men-Black-Dhoom-3-Suspenders/216277/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Add fun to your outfits with this classy pair of suspenders from Orosilber. The latest movie merchandise from the upcoming movie Dhoom 3 sets a perfect style statement.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Black elasticated suspenders with contrast woven patterns, metallic clip-on closures at the ends, adjustable, and a leather patch at the back with Dhoom 3 branding</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic, leather and brass<br/>Wipe with a clean cloth to remove dirt</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Width: 1.5"</p></li></ul>,26:02:2014,None
None,Orosilber Men Beige Dhoom 3 Suspenders,http://www.myntra.com/Suspenders/Orosilber/Orosilber-Men-Beige-Dhoom-3-Suspenders/216280/buy,Rs. 1,599,men-belts-ties,Belts,Orosilber,http://myntra.myntassets.com/images/style/properties/Orosilber-Men-Beige-Dhoom-3-Suspenders_2caa734830a97d05b1d12b52eb9ebcda_images_1080_1440_mini.jpg,None,None,men,http://www.myntra.com/Suspenders/Orosilber/Orosilber-Men-Beige-Dhoom-3-Suspenders/216280/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Stylishly detailed, this unmatched pair of suspenders from Orosilber is the latest fashion among the Dhoom series lovers. Grab your pair now for an incomparable style.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Beige elasticated suspenders with woven patterns, metallic clip-on closures at the ends, adjustable, and a leather patch at the back with Dhoom 3 branding</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic, leather and brass<br/>Wipe with a clean cloth to remove dirt</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Width: 1.5"</p></li></ul>,26:02:2014,None
None,Orosilber Men Blue Dhoom 3 Suspenders,http://www.myntra.com/Suspenders/Orosilber/Orosilber-Men-Blue-Dhoom-3-Suspenders/216283/buy,Rs. 1,599,men-belts-ties,Belts,Orosilber,http://myntra.myntassets.com/images/style/properties/Orosilber-Men-Blue-Dhoom-3-Suspenders_fe795dbc16b08c6be6f824404e2bf096_images_1080_1440_mini.jpg,None,None,men,http://www.myntra.com/Suspenders/Orosilber/Orosilber-Men-Blue-Dhoom-3-Suspenders/216283/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Add fun to your outfits with this classy pair of suspenders from Orosilber. The latest movie merchandise from the upcoming movie Dhoom 3 sets a perfect style statement.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Blue elasticated suspenders with contrast woven patterns, metallic clip-on closures at the ends, adjustable, and a leather patch at the back with Dhoom 3 branding</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic, leather and brass<br/>Wipe with a clean cloth to remove dirt</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Width: 1.5"</p></li></ul>,26:02:2014,None
None,Orosilber Men Brown Leather Belt,http://www.myntra.com/Belts/Orosilber/Orosilber-Men-Brown-Leather-Belt/216208/buy,Rs. 2,499,men-belts-ties,Belts,Orosilber,http://myntra.myntassets.com/images/style/properties/Orosilber-Men-Belts_79e07e20b8d7e9c404b99b0b2d537eae_images_1080_1440_mini.jpg,None,None,men,http://www.myntra.com/Belts/Orosilber/Orosilber-Men-Brown-Leather-Belt/216208/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Catch up with the Dhoom 3 fever and give your accessory collection a rugged and aggressive touch by owning this belt from Orosilber. It is crafted keeping in mind the attitude and outlook that Dhoom 3 represents.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Shaded brown, leather belt<br/>A metallic buckle that is embossed with the Dhoom 3 theme graphics<br/>Has a push pin closure, adjustable with multiple holes to get a snug fit<br/>A loop near the buckle to hold the belt in place when worn<br/><span style="font-size: 13px; font-family: arial, sans, sans-serif;">Warranty:  6 months from the date of purchase, against manufacturing defects</span> </p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Leather<br/>Wipe with a clean cloth to remove dust</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Width: 3.7 cm</p></li></ul>,26:02:2014,None
None,Orosilber Men Black Leather Belt,http://www.myntra.com/Belts/Orosilber/Orosilber-Men-Black-Leather-Belt/216212/buy,Rs. 1,850,men-belts-ties,Belts,Orosilber,http://myntra.myntassets.com/images/style/properties/Orosilber-Men-Belts_9f157443ccde041da5fb7fe4888d5728_images_1080_1440_mini.jpg,None,None,men,http://www.myntra.com/Belts/Orosilber/Orosilber-Men-Black-Leather-Belt/216212/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Flaunt your classic taste with the all new movie merchandise selection of upcoming movie Dhoom 3. Offered by Orosilber, this black leather belt with a metallic buckle allows you to shine with simplicity. </p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Black, leather belt with textured upper<br/>A metallic buckle that is embossed with the Dhoom 3 theme graphics<br/>Has a push pin closure, adjustable with multiple holes to get a snug fit<br/>A loop near the buckle to hold the belt in place when worn<br/><span style="font-size: 13px; font-family: arial, sans, sans-serif;">Warranty:  6 months from the date of purchase, against manufacturing defects</span> </p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Leather<br/>Wipe with a clean cloth to remove dust</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Width: 3.2 cm</p></li></ul>,26:02:2014,None
None,Orosilber Men Grey Printed Belt,http://www.myntra.com/Belts/Orosilber/Orosilber-Men-Grey-Printed-Belt/216207/buy,Rs. 850,men-belts-ties,Belts,Orosilber,http://myntra.myntassets.com/images/style/properties/Orosilber_e8bbd939927c06f4952d1cd40e22e602_images_1080_1440_mini.jpg,None,None,men,http://www.myntra.com/Belts/Orosilber/Orosilber-Men-Grey-Printed-Belt/216207/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>A belt can say a lot about your dressing sense. With this belt from Orosilber, transform your casual wardrobe to a stylish and trendy one. It is crafted keeping in mind the attitude and outlook that Dhoom 3 represents. We suggest you team this piece with distressed jeans and a casual tee.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Grey, printed belt with stitched detail<br/>Secured with a tang closure, has a fixed loop to hold the belt in place<br/>Holes to customise the fit</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Leather<br/>Wipe with a clean, dry cloth when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Width: 3.6 cm</p></li></ul>,26:02:2014,None
None,Orosilber Men Navy Dhoom 3 Suspenders,http://www.myntra.com/Suspenders/Orosilber/Orosilber-Men-Navy-Dhoom-3-Suspenders/216279/buy,Rs. 1,599,men-belts-ties,Belts,Orosilber,http://myntra.myntassets.com/images/style/properties/Orosilber-Men-Navy-Dhoom-3-Suspenders_63904fcbf1f26287a2745edbc1536d47_images_1080_1440_mini.jpg,None,None,men,http://www.myntra.com/Suspenders/Orosilber/Orosilber-Men-Navy-Dhoom-3-Suspenders/216279/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Stylishly detailed, this unmatched pair of suspenders from Orosilber is the latest fashion among the Dhoom series lovers. Grab your pair now for an incomparable style.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Navy elasticated suspenders with woven patterns, metallic clip-on closures at the ends, adjustable, and a leather patch at the back with Dhoom 3 branding</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic, leather and brass<br/>Wipe with a clean cloth to remove dirt</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Width: 1.5"</p></li></ul>,26:02:2014,None
